date,searches
2016-10-02,4
2016-10-09,5
2016-10-16,5
2016-10-23,4
2016-10-30,5
2016-11-06,3
2016-11-13,4
2016-11-20,6
2016-11-27,5
2016-12-04,5
2016-12-11,5
2016-12-18,6
2016-12-25,8
2017-01-01,15
2017-01-08,8
2017-01-15,5
2017-01-22,7
2017-01-29,6
2017-02-05,8
2017-02-12,9
2017-02-19,7
2017-02-26,8
2017-03-05,14
2017-03-12,8
2017-03-19,7
2017-03-26,6
2017-04-02,4
2017-04-09,5
2017-04-16,5
2017-04-23,7
2017-04-30,9
2017-05-07,11
2017-05-14,12
2017-05-21,22
2017-05-28,12
2017-06-04,9
2017-06-11,17
2017-06-18,11
2017-06-25,11
2017-07-02,6
2017-07-09,13
2017-07-16,13
2017-07-23,15
2017-07-30,19
2017-08-06,16
2017-08-13,17
2017-08-20,13
2017-08-27,14
2017-09-03,22
2017-09-10,36
2017-09-17,20
2017-09-24,17
2017-10-01,16
2017-10-08,19
2017-10-15,21
2017-10-22,24
2017-10-29,28
2017-11-05,32
2017-11-12,31
2017-11-19,25
2017-11-26,72
2017-12-03,83
2017-12-10,79
2017-12-17,100
2017-12-24,55
2017-12-31,36
2018-01-07,48
2018-01-14,73
2018-01-21,46
2018-01-28,51
2018-02-04,61
2018-02-11,31
2018-02-18,29
2018-02-25,19
2018-03-04,26
2018-03-11,28
2018-03-18,26
2018-03-25,32
2018-04-01,26
2018-04-08,26
2018-04-15,18
2018-04-22,20
2018-04-29,16
2018-05-06,19
2018-05-13,17
2018-05-20,16
2018-05-27,15
2018-06-03,12
2018-06-10,16
2018-06-17,14
2018-06-24,14
2018-07-01,11
2018-07-08,10
2018-07-15,13
2018-07-22,18
2018-07-29,17
2018-08-05,23
2018-08-12,14
2018-08-19,16
2018-08-26,12
2018-09-02,17
2018-09-09,15
2018-09-16,11
2018-09-23,12
2018-09-30,14
2018-10-07,13
2018-10-14,9
2018-10-21,13
2018-10-28,12
2018-11-04,10
2018-11-11,18
2018-11-18,23
2018-11-25,22
2018-12-02,17
2018-12-09,11
2018-12-16,17
2018-12-23,16
2018-12-30,12
2019-01-06,10
2019-01-13,13
2019-01-20,11
2019-01-27,10
2019-02-03,16
2019-02-10,11
2019-02-17,14
2019-02-24,12
2019-03-03,10
2019-03-10,11
2019-03-17,14
2019-03-24,12
2019-03-31,20
2019-04-07,18
2019-04-14,15
2019-04-21,15
2019-04-28,13
2019-05-05,16
2019-05-12,26
2019-05-19,17
2019-05-26,23
2019-06-02,15
2019-06-09,16
2019-06-16,26
2019-06-23,33
2019-06-30,20
2019-07-07,22
2019-07-14,17
2019-07-21,16
2019-07-28,15
2019-08-04,16
2019-08-11,15
2019-08-18,16
2019-08-25,15
2019-09-01,12
2019-09-08,8
2019-09-15,12
2019-09-22,17
2019-09-29,15
2019-10-06,12
2019-10-13,11
2019-10-20,15
2019-10-27,14
2019-11-03,11
2019-11-10,10
2019-11-17,13
2019-11-24,15
2019-12-01,9
2019-12-08,8
2019-12-15,16
2019-12-22,12
2019-12-29,14
2020-01-05,15
2020-01-12,17
2020-01-19,11
2020-01-26,15
2020-02-02,13
2020-02-09,15
2020-02-16,15
2020-02-23,14
2020-03-01,11
2020-03-08,19
2020-03-15,15
2020-03-22,11
2020-03-29,9
2020-04-05,12
2020-04-12,14
2020-04-19,14
2020-04-26,13
2020-05-03,21
2020-05-10,24
2020-05-17,14
2020-05-24,12
2020-05-31,10
2020-06-07,11
2020-06-14,9
2020-06-21,10
2020-06-28,10
2020-07-05,9
2020-07-12,12
2020-07-19,8
2020-07-26,18
2020-08-02,16
2020-08-09,14
2020-08-16,12
2020-08-23,9
2020-08-30,15
2020-09-06,11
2020-09-13,9
2020-09-20,10
2020-09-27,9
2020-10-04,7
2020-10-11,7
2020-10-18,16
2020-10-25,16
2020-11-01,16
2020-11-08,15
2020-11-15,24
2020-11-22,25
2020-11-29,22
2020-12-06,14
2020-12-13,31
2020-12-20,26
2020-12-27,34
2021-01-03,55
2021-01-10,54
2021-01-17,42
2021-01-24,32
2021-01-31,32
2021-02-07,66
2021-02-14,57
2021-02-21,64
2021-02-28,39
2021-03-07,46
2021-03-14,51
2021-03-21,32
2021-03-28,27
2021-04-04,32
2021-04-11,32
2021-04-18,60
2021-04-25,38
2021-05-02,27
2021-05-09,49
2021-05-16,83
2021-05-23,52
2021-05-30,29
2021-06-06,51
2021-06-13,36
2021-06-20,41
2021-06-27,29
2021-07-04,28
2021-07-11,32
2021-07-18,36
2021-07-25,33
2021-08-01,26
2021-08-08,29
2021-08-15,30
2021-08-22,20
2021-08-29,20
2021-09-05,38
2021-09-12,15
2021-09-19,30
2021-09-26,27
